otuid	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU2541	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Citrobacter	s__freundii
OTU2540	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Shewanellaceae	g__Shewanella	s__uncultured
OTU2546	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	s__dolichum
OTU2545	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Morganella	s__uncultured
OTU1455	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unclassified	unclassified	unclassified	unclassified
OTU1274	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__uncultured	s__uncultured
OTU2549	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU2548	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	unclassified	unclassified
OTU1104	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	unclassified	unclassified
OTU2381	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	unclassified
OTU1105	k__Bacteria	p__Cyanobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
OTU2385	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU2384	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Serratia	s__uncultured
OTU2387	k__Bacteria	p__Proteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
OTU2386	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU2389	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU1450	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU1451	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	unclassified
OTU3580	k__Bacteria	p__TM6	c__SJA-4	o__uncultured	f__uncultured	g__uncultured	s__uncultured
OTU3581	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	unclassified	unclassified	unclassified
OTU2768	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	s__uncultured
OTU3584	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__u114	s__uncultured
OTU3587	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__uncultured
OTU2763	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	s__uncultured
OTU2762	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	s__uncultured
OTU2761	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU1453	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__uncultured
OTU2767	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU2285	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	unclassified
OTU902	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	s__uncultured
OTU903	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU900	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__uncultured
OTU1848	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU906	k__Bacteria	p__Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified
OTU904	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU905	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Clostridium	s__methylpentosum
OTU1843	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU908	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	unclassified	unclassified
OTU1840	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU1847	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	unclassified	unclassified
OTU1845	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	unclassified	unclassified
OTU1844	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU4308	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	unclassified	unclassified	unclassified
OTU3250	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Papillibacter	s__cinnamivorans
OTU2169	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU2168	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU2165	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Citrobacter	s__uncultured
OTU2164	k__Bacteria	p__Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified
OTU2167	k__Bacteria	p__Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified
OTU2160	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	unclassified	unclassified
OTU2461	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU2162	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU2617	k__Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU2615	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Mogibacteriaceae	g__uncultured	s__uncultured
OTU2613	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	unclassified
OTU2612	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU2610	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Clostridium	s__methylpentosum
OTU4082	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Clostridium	unclassified
OTU4083	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__uncultured	g__uncultured	s__uncultured
OTU3298	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Oribacterium	s__uncultured
OTU3256	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__p-75-a5	s__uncultured
OTU1908	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU3294	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Rothia	s__mucilaginosa
OTU3295	k__Bacteria	p__Spirochaetes	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	g__Treponema	s__uncultured
OTU1904	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	s__dolichum
OTU1905	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__uncultured	s__uncultured
OTU3292	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	unclassified	unclassified
OTU1901	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__Clostridium	s__maritimum
OTU3450	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU3451	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU3456	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	unclassified	unclassified
OTU851	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU852	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__uncultured	s__uncultured
OTU819	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__PW3	s__uncultured
OTU3458	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU858	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	g__Nitrosopumilus	s__uncultured
OTU859	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Paludibacter	s__uncultured
OTU3293	k__Bacteria	p__Bacteroidetes	unclassified	unclassified	unclassified	unclassified	unclassified
OTU4088	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	unclassified	unclassified	unclassified
OTU6	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU811	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	unclassified	unclassified
OTU817	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU740	k__Bacteria	p__Tenericutes	c__CK-1C4-19	o__uncultured	f__uncultured	g__uncultured	s__uncultured
OTU741	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__PW3	s__uncultured
OTU742	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	f__Trebouxiophyceae	g__uncultured	s__uncultured
OTU743	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	unclassified	unclassified
OTU744	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Clostridium	s__colinum
OTU745	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__uncultured
OTU746	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	unclassified	unclassified
OTU747	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Lutimonas	s__uncultured
OTU748	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__uncultured
OTU749	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Cryomorphaceae	g__uncultured	s__uncultured
OTU2912	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU3061	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Planctomyces	s__uncultured
OTU3060	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	f__uncultured	g__uncultured	s__uncultured
OTU3067	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU3066	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU3065	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU2947	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU2946	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	s__uncultured
OTU3069	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU3068	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__uncultured	s__uncultured
OTU2942	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU2941	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	unclassified
OTU1052	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__uncultured	s__uncultured
OTU1053	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	s__uncultured
OTU1054	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Coprobacillus	unclassified
OTU1055	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__uncultured	s__uncultured
OTU1056	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Mycoplasmatales	f__Mycoplasmataceae	g__uncultured	s__uncultured
OTU1057	k__Bacteria	p__Chloroflexi	c__Anaerolineae	unclassified	unclassified	unclassified	unclassified
OTU1058	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Phyllobacterium	s__uncultured
OTU1696	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU1695	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU1693	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__uncultured	g__uncultured	s__uncultured
OTU1690	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Acidaminobacteraceae	g__Acidaminobacter	s__uncultured
OTU2853	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU1698	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__uncultured
OTU4310	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU4311	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU618	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__RF32	f__uncultured	g__uncultured	s__uncultured
OTU4313	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU4315	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU4316	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__p-2534-18B5	g__uncultured	s__uncultured
OTU4317	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	unclassified	unclassified	unclassified
OTU612	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__uncultured	s__uncultured
OTU613	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Methylophilales	f__Methylophilaceae	g__uncultured	s__uncultured
OTU610	k__Bacteria	p__Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified
OTU611	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__uncultured	g__uncultured	s__uncultured
OTU616	k__Bacteria	p__Bacteroidetes	c__Rhodothermi	o__Rhodothermales	f__Balneolaceae	g__Balneola	s__uncultured
OTU1275	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	unclassified	unclassified
OTU1276	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	unclassified	unclassified
OTU615	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__columnare
OTU1795	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU1490	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__uncultured	g__uncultured	s__uncultured
OTU2377	k__Bacteria	p__Proteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
OTU3118	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__uncultured	g__uncultured	s__uncultured
OTU3116	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU3113	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU3112	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Citrobacter	s__uncultured
OTU3111	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU3110	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU1473	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Coprobacillus	s__cateniformis
OTU1471	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU1476	k__Archaea	p__Parvarchaeota	c__Parvarchaea	o__YLA114	f__uncultured	g__uncultured	s__uncultured
OTU1477	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__uncultured
OTU1475	k__Bacteria	p__TM7	c__TM7-1	o__uncultured	f__uncultured	g__uncultured	s__uncultured
OTU1494	k__Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU1478	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	unclassified	unclassified
OTU1479	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU1495	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__PW3	s__uncultured
OTU1304	k__Bacteria	p__Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified
OTU1305	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Citrobacter	s__uncultured
OTU1306	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__uncultured	s__uncultured
OTU1307	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU1496	k__Bacteria	p__Tenericutes	c__CK-1C4-19	o__uncultured	f__uncultured	g__uncultured	s__uncultured
OTU1302	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Providencia	s__uncultured
OTU1309	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU2597	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU498	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__uncultured	s__uncultured
OTU499	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Clostridium	s__piliforme
OTU1499	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Salinispora	s__uncultured
OTU494	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__PW3	s__uncultured
OTU495	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Mesorhizobium	s__uncultured
OTU4226	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU4227	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__uncultured
OTU490	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Marinicellales	f__Marinicellaceae	g__uncultured	s__uncultured
OTU491	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__Clostridium	s__bifermentans
OTU4222	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU4223	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU24	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU25	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__uncultured	s__uncultured
OTU26	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__uncultured	s__uncultured
OTU27	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU20	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU21	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU22	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Shewanellaceae	g__Shewanella	s__uncultured
OTU23	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__uncultured
OTU28	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU29	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__uncultured	s__uncultured
OTU3187	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	unclassified
OTU3938	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	unclassified
OTU3142	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU3935	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	unclassified	unclassified
OTU3937	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU3931	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU3933	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__uncultured	g__uncultured	s__uncultured
OTU3932	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU1241	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	f__uncultured	g__uncultured	s__uncultured
OTU1516	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	unclassified	unclassified
OTU4138	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU4139	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Serratia	s__uncultured
OTU3730	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	s__uncultured
OTU1601	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__uncultured	g__uncultured	s__uncultured
OTU4130	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU4133	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	unclassified	unclassified	unclassified
OTU4135	k__Bacteria	p__Spirochaetes	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	g__Treponema	s__uncultured
OTU3840	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	unclassified	unclassified
OTU3842	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__PW3	s__uncultured
OTU3845	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfuromonadales	f__Desulfuromonadaceae	g__uncultured	s__uncultured
OTU3847	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU1334	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__uncultured
OTU4044	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU1603	k__Bacteria	p__Bacteroidetes	unclassified	unclassified	unclassified	unclassified	unclassified
OTU4046	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__uncultured	g__uncultured	s__uncultured
